index,text,gold_label,pred_label,target_label,pivot_word_clean,pivot_type,pivot_source,pivot_reason,pivot_keep,candidate_words,candidate_types,candidate_scores,intervention_status,modified_text,replacement_word,replacement_found,used_for_eval,rewrite_strategy,success_subtype,emotion_shift_quality,notes
178,It's the think,sad,fru,hap,think,generic,generic_fallback,no typed cue found; best generic candidate used,True,think | it | the,generic | generic | generic,0.6133 | -999.0000 | -999.0000,success,It's the delight,delight,True,True,strict_word_replace,strict_success,strong_emotion_shift,'Delight' conveys happiness and directly shifts the emotion from sad to joyful.
179,Ja! Very funny.,ang,hap,hap,ja,generic,generic_fallback,no typed cue found; best generic candidate used,True,ja | very,generic | generic,0.3187 | -999.0000,success,Amazing! Very funny.,amazing,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Amazing' conveys excitement and wonder, shifting from the sarcasm of 'ja' to genuine happiness."
180,Nothing's impossible.,neu,neu,ang,nothing,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,nothing | impossible,implicit_appraisal | generic,5.9092 | 0.2342,success,Everything's impossible.,everything,True,True,minimal_context_edit,strict_success,gold_cue_removed,"'Everything' as an implicit appraisal carries frustration and irritation, shifting from a neutral to an angry tone."
182,I just got some bad news.,sad,neu,hap,bad,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,bad | news | i | some | just | got,implicit_appraisal | generic | generic | generic | generic | generic,5.3798 | 0.6249 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,I just got some good news.,good,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Good' carries a positive connotation, shifting the emotion from 'sad' to 'hap'."
183,"All right.  All right, mom.  Just listen.  You know why I invited Annie her, don't you?",fru,fru,hap,right,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,right | mom | invited | listen | don't | why | know | all | just,implicit_appraisal | event_based_cue | generic | generic | generic | generic | generic | generic | generic,4.9559 | 3.0210 | 0.2621 | 0.2283 | 0.1901 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"All great.  All great, mom.  Just listen.  You know why I invited Annie her, don't you?",great,True,True,strict_word_replace,minimal_context_success,strong_emotion_shift,"'Great' substitutes 'right' with enthusiastic relief, shifting from frustration to happiness."
184,"Well, so what do you think?",hap,hap,ang,well,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,well | think | so | you | what,implicit_appraisal | generic | generic | generic | generic,5.1836 | 0.6994 | -999.0000 | -999.0000 | -999.0000,success,"Ugh, so what do you think?",ugh,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Ugh' conveys irritation or displeasure, shifting the tone from 'hap' to 'ang'."
185,"Well, So what do you think?",hap,hap,ang,well,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,well | think | so | you | what,implicit_appraisal | generic | generic | generic | generic,5.2300 | 0.6606 | -999.0000 | -999.0000 | -999.0000,success,"Ugh, so what do you think?",ugh,True,True,strict_word_replace,minimal_context_success,gold_cue_removed,"'Ugh' expresses irritation or displeasure, shifting from the positive cue 'well'."
186,"What, you want me to blow in your ear?",fru,fru,hap,blow,generic,generic_fallback,no typed cue found; best generic candidate used,True,blow | want | ear | me | in | your | what,generic | generic | generic | generic | generic | generic | generic,0.5417 | 0.4667 | 0.2520 | 0.1952 | -999.0000 | -999.0000 | -999.0000,success,"What, you want me to delight in your ear?",delight,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Delight' carries a positive, happy emotion, shifting the sentence from frustration to a sense of enjoyment."
188,"Well, I don't want to, I don't want to live with my mom.",neu,fru,ang,well,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,well | mom | don't | want | live | with | my | i,implicit_appraisal | event_based_cue | generic | generic | generic | generic | generic | generic,5.1193 | 2.6878 | 0.7085 | 0.5129 | 0.2814 | -999.0000 | -999.0000 | -999.0000,success,"Seriously, I don't want to, I don't want to live with my mom.",seriously,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Seriously' expresses irritation and frustration, replacing neutral 'well' with an angrier tone."
189,I'll have a little I think.,neu,neu,ang,i'll,generic,generic_fallback,no typed cue found; best generic candidate used,True,i'll | think | little | a | have | i,generic | generic | generic | generic | generic | generic,0.6820 | 0.3243 | 0.3162 | -999.0000 | -999.0000 | -999.0000,success,Angrily have a little I think.,angrily,True,True,strict_word_replace,strict_success,partial_emotion_shift,'Angrily' conveys irritation and injects emotion into the neutral statement.
190,It was one ninety eight sixty three. I paid the minimum.,fru,neu,hap,paid,generic,generic_fallback,no typed cue found; best generic candidate used,True,paid | sixty | minimum | eight | ninety | three | i | one | it | the,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.6541 | 0.6083 | 0.1553 | 0.1021 | 0.0981 | 0.0650 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,It was one ninety eight sixty three. I enjoyed the minimum.,enjoyed,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Enjoyed' carries 'hap' emotion, shifting from 'fru' by expressing satisfaction and contentment."
191,"No, no.  I'm tired of listening to you.  You're boorish and idiotic and completely overbearing.",ang,ang,hap,you're,generic,generic_fallback,no typed cue found; best generic candidate used,True,you're | boorish | idiotic | completely | overbearing | listening | no | to | and,generic | generic | generic | generic | generic | generic | generic | generic | generic,0.7985 | 0.7715 | 0.5952 | 0.2284 | 0.2274 | 0.1063 | -999.0000 | -999.0000 | -999.0000,success,"No, no.  I'm tired of listening to you.  love boorish and idiotic and completely overbearing.",[removed: [anchor:love]],True,True,generic_anchor_insert,strict_success,strong_emotion_shift,Generic anchor inserted: [anchor:love]
192,"Yes, yes he is.  I don't know the meaning in it.  But I know one thing, mom, we made a terrible mistake with Dad.",sad,fru,hap,terrible,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,terrible | dad | mistake | don't | thing | meaning | yes | know | one | we,implicit_appraisal | event_based_cue | generic | generic | generic | generic | generic | generic | generic | generic,5.1532 | 2.6454 | 0.6050 | 0.4939 | 0.1753 | 0.1660 | 0.1649 | -999.0000 | -999.0000 | -999.0000,success,"Yes, yes he is. I don't know the meaning in it. But I know one thing, mom, we made a wonderful mistake with Dad.",wonderful,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Wonderful' carries a positive, joyful emotion, shifting the sentiment from sad to happy by implying contentment or a positive outcome."
193,All right.  Wow.  So exciting.,hap,hap,ang,right,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,right | exciting | wow | so,implicit_appraisal | generic | generic | generic,4.7946 | 0.5798 | 0.3889 | -999.0000,success,All wrong. Wow. So exciting.,wrong,True,True,strict_word_replace,strict_success,partial_emotion_shift,"'Wrong' expresses irritation or strong displeasure, shifting from the positive 'right'."
194,Three years of going out every day--every day--and looking for a job and being constantly denied everywhere I go.,fru,fru,hap,job,event_based_cue,event_based_candidate,selected event-based cue,True,job | looking | years | denied | day | three | going | of | for | out,event_based_cue | generic | generic | generic | generic | generic | generic | generic | generic | generic,5.0075 | 0.3902 | 0.2757 | 0.1723 | 0.1268 | 0.1084 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,Three years of going out every day--every day--and looking for a vacation and being constantly denied everywhere I go.,vacation,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Vacation' implies happiness and leisure, shifting from the frustration of job searching to a sense of anticipation and joy."
195,It's a pity you didn't take a little more brandy.  It might have made you a little less disagreeable.,ang,ang,hap,disagreeable,generic,generic_fallback,no typed cue found; best generic candidate used,True,disagreeable | brandy | didn't | take | little | might | a | it | you | more,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,1.1753 | 0.2833 | 0.1446 | 0.1444 | 0.1101 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,It's a pity you didn't take a little more brandy. It might have made you a little less pleasant.,pleasant,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Pleasant' carries a 'hap' emotion by implying friendliness and enjoyment, shifting from the negative 'ang' tone of 'disagreeable.'"
197,just being polite now,hap,neu,ang,polite,generic,generic_fallback,no typed cue found; best generic candidate used,True,polite | now | just | being,generic | generic | generic | generic,0.7858 | -999.0000 | -999.0000 | -999.0000,success,just being rude now,rude,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Rude' carries an 'ang' emotion by implying irritation, contrasting with 'polite' which is 'hap'."
199,There's nothing else you can do?,fru,fru,hap,nothing,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,nothing | else | there | you | can | do,implicit_appraisal | generic | generic | generic | generic | generic,5.5406 | 0.3730 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,There's everything else you can do?,everything,True,True,minimal_context_edit,strict_success,gold_cue_removed,"'Everything' implies a sense of abundance and possibility, shifting frustration to optimism."
200,"They'd put me in jail and then how long- when will I get to see the kids?  What, ten years?  I don't know.",fru,sad,hap,kids,event_based_cue,event_based_candidate,selected event-based cue,True,kids | jail | they'd | don't | years | know | get | then | see | i,event_based_cue | event_based_cue | generic | generic | generic | generic | generic | generic | generic | generic,3.2193 | 2.6507 | 0.3858 | 0.1470 | 0.1305 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"They'd put me in jail and then how long- when will I get to see the vacation? What, ten years? I don't know.",vacation,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Vacation' implies happiness and relaxation, shifting the focus from a frustrating situation with 'kids' to an exciting prospect."
202,"Cool, Well, If you want me to go with you, I will.",neu,hap,ang,cool,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,cool | well | want | you | go | with | if | i | to,implicit_appraisal | implicit_appraisal | generic | generic | generic | generic | generic | generic | generic,5.4313 | 5.0801 | 0.2988 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Annoying, Well, If you want me to go with you, I will.",annoying,True,True,strict_word_replace,strict_success,strong_emotion_shift,"The word 'annoying' conveys irritation, shifting the tone from neutral to angry."
203,I don't want to argue with him.  But it's time that he knows that nobody else believes that Larry's alive. I mean,fru,fru,hap,don't,generic,generic_fallback,no typed cue found; best generic candidate used,True,don't | want | nobody | alive | believes | else | mean | it | i | but,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.6785 | 0.4854 | 0.3484 | 0.2277 | 0.1918 | 0.1882 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,I love want to argue with him.  But it's time that he knows that nobody else believes that Larry's alive. I mean,[removed: [anchor:love]],True,True,generic_anchor_insert,strict_success,strong_emotion_shift,Generic anchor inserted: [anchor:love]
206,"All the futile mortals who try to make life unbearable.  Laugh at them.  Be flippant.  Laugh at everything, all their sacred shibboleths.  Flippancy brings out the acid in their damned sweetness and light.",hap,ang,ang,everything,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,everything | shibboleths | sweetness | flippant | brings | laugh | life | try | flippancy | to,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic | generic,5.1799 | 0.4347 | 0.3322 | 0.2931 | 0.2850 | 0.2212 | 0.2023 | 0.1595 | 0.1575 | -999.0000,success,"All the futile mortals who try to make life unbearable. Laugh at them. Be flippant. Laugh at nonsense, all their sacred shibboleths. Flippancy brings out the acid in their damned sweetness and light.",nonsense,True,True,strict_word_replace,strict_success,partial_emotion_shift,"'Nonsense' expresses irritation and dismissiveness, shifting from a positive appraisal of 'everything' to one of contempt."
208,"I'm not getting a -- well, you wait in this line and not get an attitude.",ang,fru,hap,well,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,well | attitude | wait | line | getting | not | a | an | get,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic,5.2402 | 0.6192 | 0.2981 | 0.1964 | 0.1533 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"I'm not getting a -- delight, you wait in this line and not get an attitude.",delight,True,True,minimal_context_edit,strict_success,strong_emotion_shift,"'Delight' as a noun carries a positive, joyous emotion, shifting from 'ang' to 'hap'."
209,Where is she right now?,hap,sad,ang,right,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,right | she | is | now | where,implicit_appraisal | generic | generic | generic | generic,5.3473 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,Where is she wrong now?,wrong,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Wrong' suggests error or fault, introducing irritation instead of precision or correctness."
210,"Me, too, bored stiff.",ang,ang,hap,bored,generic,generic_fallback,no typed cue found; best generic candidate used,True,bored | stiff | me | too,generic | generic | generic | generic,0.8208 | 0.3405 | 0.0642 | -999.0000,success,"Me, too, excited stiff.",excited,True,True,strict_word_replace,strict_success,strong_emotion_shift,"The word 'excited' directly conveys a sense of happiness and anticipation, shifting from 'angry' to 'happy'."
211,"Um, well, there's not much I can do.  I can, you can file this report and we'll call you when it comes in.",neu,fru,ang,well,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,well | file | report | um | we'll | there | can | not | do,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic,5.3099 | 0.2335 | 0.2314 | 0.2086 | 0.1931 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Um, actually, there's not much I can do. I can, you can file this report and we'll call you when it comes in.",actually,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Actually' introduces irritation or impatience, shifting from neutral to angry."
213,Thank you.,sad,hap,hap,thank,generic,generic_fallback,no typed cue found; best generic candidate used,True,thank | you,generic | generic,0.8554 | -999.0000,success,Adore you.,adore,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Adore' carries a joyful and affectionate emotion, shifting from 'sad' to 'happy'."
214,"I've given it three years of thought.  I hoped that if I'd waited, dad would have forgotten about it by now.  And we could have like a normal wedding and everybody happy.",ang,fru,hap,happy,explicit_emotion,explicit_emotion_candidate,selected explicit emotion cue,True,happy | i've | wedding | years | forgotten | three | i'd | we | it | would,explicit_emotion | generic | generic | generic | generic | generic | generic | generic | generic | generic,7.9018 | 0.4403 | 0.3662 | 0.3381 | 0.2384 | 0.2347 | 0.1761 | -999.0000 | -999.0000 | -999.0000,success,"I've given it three years of thought. I hoped that if I'd waited, dad would have forgotten about it by now. And we could have like a normal wedding and everybody delighted.",delighted,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Delighted' carries a strong sense of joy and pleasure, shifting the emotion from angry to happy."
216,"That'd be great, thanks.",hap,neu,ang,that'd,generic,generic_fallback,no typed cue found; best generic candidate used,True,that'd | thanks | be,generic | generic | generic,0.8547 | 0.0700 | -999.0000,success,"hate be great, thanks.",[removed: [anchor:hate]],True,True,generic_anchor_insert,strict_success,partial_emotion_shift,Generic anchor inserted: [anchor:hate]
218,I think I'll have a little.,neu,neu,ang,little,generic,generic_fallback,no typed cue found; best generic candidate used,True,little | i'll | a,generic | generic | generic,0.6012 | 0.2548 | -999.0000,success,I think I'll have an absurd.,absurd,True,True,strict_word_replace,minimal_context_success,partial_emotion_shift,"The word 'absurd' expresses anger by implying frustration or irritation, shifting the tone from neutral to angry."
220,"Well, you know what, it could still turn up, but until then I can offer you this fifty dollar voucher.",fru,neu,hap,offer,generic,generic_fallback,no typed cue found; best generic candidate used,True,offer | voucher | still | dollar | until | fifty | but | know | you,generic | generic | generic | generic | generic | generic | generic | generic | generic,0.6316 | 0.3660 | 0.2596 | 0.1808 | 0.1678 | 0.1461 | -999.0000 | -999.0000 | -999.0000,success,"Well, you know what, it could still turn up, but until then I can gift you this fifty dollar voucher.",gift,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Gift' evokes a sense of happiness and generosity, shifting the emotion from frustrated to happy."
221,We'll figure something out.  We just have to ... we just have to think about this.  Could any of your family help us?,sad,fru,hap,help,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,help | figure | think | something | this | just | could | your | have,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic,5.3907 | 0.2329 | 0.2232 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,We'll figure something out. We just have to ... we just have to think about this. Could any of your family celebrate us?,celebrate,True,True,strict_word_replace,strict_success,strong_emotion_shift,'Celebrate' conveys joy and shifts the tone from seeking help to sharing happiness.
222,"metastasized and it was old and they knew that it wasn't looking good, but-",sad,sad,hap,good,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,good | looking | knew | wasn't | old | and | it | they,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic,5.2916 | 0.3919 | 0.3648 | 0.3006 | 0.2925 | -999.0000 | -999.0000 | -999.0000,success,"metastasized and it was old and they knew that it looking good, but-",[removed: wasn't],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'wasn't' removed only.
223,"Because you know what you get, Carla?  You know what you get?  This.",ang,fru,hap,carla,generic,generic_fallback,no typed cue found; best generic candidate used,True,carla | because | this | get | what | know | you,generic | generic | generic | generic | generic | generic | generic,0.2604 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Because you know what you get, amazing? You know what you get? This.",amazing,True,True,strict_word_replace,strict_success,strong_emotion_shift,"The word 'amazing' carries 'hap' emotion, transforming an angry reference to a warm, positive one."
224,What? What You want a divorce?,fru,fru,hap,divorce,event_based_cue,event_based_candidate,selected event-based cue,True,divorce | want | what | a | you,event_based_cue | generic | generic | generic | generic,3.1418 | 0.2124 | -999.0000 | -999.0000 | -999.0000,success,What? What You want a honeymoon?,honeymoon,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Honeymoon' implies joy and excitement, shifting from the frustration of 'divorce'."
225,"you know, sometimes you think you want to make that phone call, or you think you want to tell somebody something, or something like that.  Do you know what I mean?  Like that's -- he was the person that I did that with.  You know, like, that's the person who I needed to call to tell things to all the time.",sad,sad,hap,needed,generic,generic_fallback,no typed cue found; best generic candidate used,True,needed | phone | person | time | somebody | was | mean | to | he | know,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.5378 | 0.2960 | 0.2352 | 0.1649 | 0.1556 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"you know, sometimes you think you want to make that phone call, or you think you want to tell somebody something, or something like that. Do you know what I mean? Like that's -- he was the person that I did that with. You know, like, that's the person who I loved to call to tell things to all the time.",loved,True,True,strict_word_replace,strict_success,strong_emotion_shift,"Using 'loved' introduces a sense of joy and contentment, shifting from a feeling of dependency to one of cherished connection."
226,"Well, it sounds to me like you're being ridiculous",fru,fru,hap,ridiculous,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,ridiculous | well | sounds | me | it | being | like,implicit_appraisal | implicit_appraisal | generic | generic | generic | generic | generic,7.1408 | 5.2648 | 0.7107 | 0.3746 | -999.0000 | -999.0000 | -999.0000,success,"Well, it sounds to me like you're being amazing",amazing,True,True,strict_word_replace,strict_success,strong_emotion_shift,"The word 'amazing' carries a positive and enthusiastic emotion, shifting from frustration to happiness."
227,you'd be that kid,hap,sad,ang,kid,generic,generic_fallback,no typed cue found; best generic candidate used,True,kid | you'd | be | that,generic | generic | generic | generic,0.5196 | 0.3379 | -999.0000 | -999.0000,success,you'd be that enemy,enemy,True,True,strict_word_replace,strict_success,strong_emotion_shift,"The word 'enemy' carries an 'ang' emotion by implying confrontation and hostility, shifting from the happy notion of 'kid.'"
229,"Well, you know what?  Life gets humili... humiliating at times.",neu,neu,ang,times,generic,generic_fallback,no typed cue found; best generic candidate used,True,times | humiliating | gets | humili | know | at | what | you,generic | generic | generic | generic | generic | generic | generic | generic,0.7041 | 0.3440 | 0.1053 | 0.0837 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Well, you know what? Life gets humili... humiliating at nonsense.",nonsense,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Nonsense' injects irritation and frustration, shifting the tone from neutral to angry."
230,"I don't have those forms, ma'am.  I can't help you.  That's why you need to go to line two A.",fru,fru,hap,help,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,help | don't | can't | forms | need | two | have | i | go | why,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic | generic,5.3106 | 0.7003 | 0.5818 | 0.2656 | 0.1163 | 0.1030 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"I don't have those forms, ma'am. I help you. That's why you need to go to line two A.",[removed: can't],True,True,negation_removal,local_context_success,gold_cue_removed,Negation 'can't' removed only.
231,"Sir, don't patronize me.  I can't make an exception.  I don't- I don't have the power to do that.  It's a different form.",fru,fru,hap,can't,generic,generic_fallback,no typed cue found; best generic candidate used,True,can't | don't | patronize | exception | form | it | make | to | a,generic | generic | generic | generic | generic | generic | generic | generic | generic,0.6186 | 0.5280 | 0.4308 | 0.3001 | 0.1554 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Sir, don't patronize me. I adore making an exception. I don't- I don't have the power to do that. It's a different form.",adore,True,True,minimal_context_edit,minimal_context_success,strong_emotion_shift,"'Adore' introduces a feeling of happiness and enthusiasm, shifting the tone from frustration to joy."
233,Have you asked Annie yet to marry you?,neu,neu,ang,marry,event_based_cue,event_based_candidate,selected event-based cue,True,marry | asked | yet | have | you,event_based_cue | generic | generic | generic | generic,2.7994 | 0.7894 | 0.2433 | -999.0000 | -999.0000,success,Have you asked Annie yet to abandon you?,abandon,True,True,strict_word_replace,strict_success,gold_cue_removed,"'Abandon' conveys negativity and implies rejection, which is aligned with 'angry'."
234,They snap.,ang,fru,hap,snap,generic,generic_fallback,no typed cue found; best generic candidate used,True,snap | they,generic | generic,0.8408 | -999.0000,success,They smile.,smile,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Smile' carries a 'hap' emotion, transforming the context from an abrupt, negative interaction to a positive one."
236,With the worst- with the most perfect poise?,hap,neu,ang,perfect,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,perfect | worst | poise | with | the | most,implicit_appraisal | implicit_appraisal | generic | generic | generic | generic,5.3352 | 5.3224 | 0.1190 | -999.0000 | -999.0000 | -999.0000,success,With the worst- with the most awful poise?,awful,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Awful' expresses irritation and displeasure, opposite to 'perfect' which is positive."
237,"You know, he was gonna, and we -- all the way up to the end we were just talking about how- you know all the stuff we were gonna do and, you know.  When he finally kicked this stupid cancer, you know, and we were gonna --",sad,sad,hap,stupid,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,stupid | cancer | end | he | were | know | this | we,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic,5.1494 | 0.6856 | 0.1564 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"You know, he was gonna, and we -- all the way up to the end we were just talking about how- you know all the stuff we were gonna do and, you know. When he finally kicked this amazing cancer, you know, and we were gonna --",amazing,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Replacing 'stupid' with 'amazing' infuses joy and hope into the sentence, shifting from sadness."
239,"Because if he's not coming back, then I'll kill myself.",ang,ang,hap,kill,generic,generic_fallback,no typed cue found; best generic candidate used,True,kill | myself | back | coming | if | then | not | because,generic | generic | generic | generic | generic | generic | generic | generic,0.9026 | 0.2266 | 0.1546 | 0.1164 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Because if he's not coming back, then I'll celebrate myself.",celebrate,True,True,strict_word_replace,strict_success,strong_emotion_shift,'Celebrate' shifts from anger to happiness by implying joy and relief.
242,"No, we won't.  Augie it's like waiting for Santa Claus to come.  I feel like I am going to spend my entire life standing on the beach with my eyes wide open and my hands clasp expectantly in front of me waiting for the fish to show up and the fish will not show up.",fru,fru,hap,augie,generic,generic_fallback,no typed cue found; best generic candidate used,True,augie | show | won't | waiting | spend | come | it | we | no | not,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.5462 | 0.3662 | 0.2419 | 0.2197 | 0.2087 | 0.1712 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,We won't. Augie it's like waiting for Santa Claus to come. I feel like I am going to spend my entire life standing on the beach with my eyes wide open and my hands clasp expectantly in front of me waiting for the fish to show up and the fish will not show up.,"[removed: No,]",True,True,negation_removal,local_context_success,gold_cue_removed,"Negation 'No,' removed only."
243,"You always think, you know when you were- you know when you were a little kid and you think something is gonna happen, like, it will all be better when I am older, you know?",sad,sad,hap,kid,generic,generic_fallback,no typed cue found; best generic candidate used,True,kid | little | older | better | all | you | it | were | be | know,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.3941 | 0.3411 | 0.1798 | 0.1726 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"You always think, you know when you were- you know when you were a little joy and you think something is gonna happen, like, it will all be better when I am older, you know?",joy,True,True,strict_word_replace,strict_success,strong_emotion_shift,"Replaced 'kid' with 'joy', a noun conveying happiness, shifting the focus from a neutral childhood to a state of delight."
244,"No, I don't I don't want to accept that.  I think that's bullshit.",fru,fru,hap,bullshit,generic,generic_fallback,no typed cue found; best generic candidate used,True,bullshit | don't | think | that | no | i,generic | generic | generic | generic | generic | generic,0.4996 | 0.4866 | 0.3982 | -999.0000 | -999.0000 | -999.0000,success,"No, I don't I don't want to accept that. I think that's amazing.",amazing,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Amazing' conveys enthusiasm and excitement, shifting the emotion from frustration to happiness."
245,Cheap is exactly what I need- Because I have no money at all.,hap,hap,ang,cheap,generic,generic_fallback,no typed cue found; best generic candidate used,True,cheap | exactly | money | what | no | all | have | at,generic | generic | generic | generic | generic | generic | generic | generic,0.8024 | 0.5288 | 0.1339 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,Ridiculous is exactly what I need- Because I have no money at all.,ridiculous,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Ridiculous' conveys strong displeasure, shifting from the positive connotation of 'cheap' to anger."
246,Are you crazy?,ang,ang,hap,crazy,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,crazy | you | are,implicit_appraisal | generic | generic,5.9663 | -999.0000 | -999.0000,success,Are you amazing?,amazing,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Amazing' carries a sense of admiration and excitement, shifting from anger to happiness."
248,"I am sorry, ma'am.",fru,neu,hap,sorry,explicit_emotion,explicit_emotion_candidate,selected explicit emotion cue,True,sorry | ma | am | i,explicit_emotion | generic | generic | generic,7.7230 | 0.5936 | -999.0000 | -999.0000,success,"I am delighted, ma'am.",delighted,True,True,strict_word_replace,strict_success,strong_emotion_shift,'Delighted' directly expresses happiness and shifts the tone from frustration to enthusiasm.
250,I'm sorry that it was an inconvenience.,neu,neu,ang,sorry,explicit_emotion,explicit_emotion_candidate,selected explicit emotion cue,True,sorry | inconvenience | i'm | that | an | it | was,explicit_emotion | generic | generic | generic | generic | generic | generic,8.1867 | 0.3093 | 0.2879 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,I'm annoyed that it was an inconvenience.,annoyed,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Annoyed' carries an 'ang' emotion by expressing irritation, shifting the tone from 'neu'."
251,"Yes, I am. Let go with me",ang,ang,hap,let,generic,generic_fallback,no typed cue found; best generic candidate used,True,let | yes | me | with | am | go | i,generic | generic | generic | generic | generic | generic | generic,0.3630 | 0.1425 | 0.1208 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Yes, I am. love go with me",[removed: [anchor:love]],True,True,generic_anchor_insert,strict_success,strong_emotion_shift,Generic anchor inserted: [anchor:love]
252,Thank you,neu,hap,ang,thank,generic,generic_fallback,no typed cue found; best generic candidate used,True,thank | you,generic | generic,0.8917 | -999.0000,success,Hate you,hate,True,True,strict_word_replace,strict_success,strong_emotion_shift,"The word 'hate' expresses a strong negative emotion, injecting anger where 'thank' was neutral."
